"Trial_ID","Background_Environment","Target_Temp","Strike_Latency_sec"
87,"20C_Cool_Soil","40C_Bird",1.83
144,"20C_Cool_Soil","40C_Bird",1.49
55,"20C_Cool_Soil","25C_Ambient",4.03
105,"20C_Cool_Soil","40C_Bird",1.45
213,"38C_Sunbaked_Rock","40C_Bird",7.5
217,"38C_Sunbaked_Rock","25C_Ambient",4.86
297,"38C_Sunbaked_Rock","40C_Bird",6.3
68,"20C_Cool_Soil","37C_Mouse",1.42
162,"38C_Sunbaked_Rock","40C_Bird",2.09
108,"20C_Cool_Soil","40C_Bird",1.24
46,"20C_Cool_Soil","25C_Ambient",4.41
143,"20C_Cool_Soil","37C_Mouse",1.74
195,"38C_Sunbaked_Rock","40C_Bird",5.15
75,"20C_Cool_Soil","40C_Bird",1.46
97,"20C_Cool_Soil","25C_Ambient",5.02
124,"20C_Cool_Soil","25C_Ambient",5.99
200,"38C_Sunbaked_Rock","37C_Mouse",4.38
300,"38C_Sunbaked_Rock","40C_Bird",4.26
174,"38C_Sunbaked_Rock","40C_Bird",6.16
197,"38C_Sunbaked_Rock","37C_Mouse",5.7
9,"20C_Cool_Soil","40C_Bird",1.3
10,"20C_Cool_Soil","25C_Ambient",4.1
2,"20C_Cool_Soil","37C_Mouse",1.79
224,"38C_Sunbaked_Rock","37C_Mouse",4.68
88,"20C_Cool_Soil","25C_Ambient",5.98
267,"38C_Sunbaked_Rock","40C_Bird",6.2
60,"20C_Cool_Soil","40C_Bird",1.82
277,"38C_Sunbaked_Rock","25C_Ambient",6.07
223,"38C_Sunbaked_Rock","25C_Ambient",5.55
252,"38C_Sunbaked_Rock","40C_Bird",5.72
113,"20C_Cool_Soil","37C_Mouse",1.05
196,"38C_Sunbaked_Rock","25C_Ambient",3.36
253,"38C_Sunbaked_Rock","25C_Ambient",4.54
288,"38C_Sunbaked_Rock","40C_Bird",3.04
114,"20C_Cool_Soil","40C_Bird",0.7
41,"20C_Cool_Soil","37C_Mouse",1.99
69,"20C_Cool_Soil","40C_Bird",1.61
175,"38C_Sunbaked_Rock","25C_Ambient",6.59
185,"38C_Sunbaked_Rock","37C_Mouse",5.51
266,"38C_Sunbaked_Rock","37C_Mouse",3.84
17,"20C_Cool_Soil","37C_Mouse",1.94
112,"20C_Cool_Soil","25C_Ambient",3.76
111,"20C_Cool_Soil","40C_Bird",1.01
19,"20C_Cool_Soil","25C_Ambient",3.57
92,"20C_Cool_Soil","37C_Mouse",1.2
246,"38C_Sunbaked_Rock","40C_Bird",7.01
256,"38C_Sunbaked_Rock","25C_Ambient",5.2
